Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty,Gross Amount,Discount Amount,Net Amount,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
1600000000409985513,1600000000409832645,1600000000375910634,Food Menu,Grill and Chill Platters,,Lamb Platter,18.275882352941178,14.0,256.72,40.92,215.80,0.06572769953051644,0.010332103321033211,0.0031376064545047063,0.0682168778291986,0.012055104901198975,0.005407681011973077
1600000000375910650,1600000000375910649,,Food Menu,Salads,,,14.14,7.0,99.01,1.49,97.52,0,0.0051660516605166054,0.0015688032272523531,0,0.005447700787603911,0.0024437305481353777
1600000000375910652,1600000000375910651,1600000000375910650,Food Menu,Salads,,Chicken Power Bowl,12.99,4.0,51.96,1.49,50.47,0.5714285714285714,0.002952029520295203,8.964589870013447E-4,0.5175348646431501,0.0028193750897289723,0.0012647157584535736
1600000000375910654,1600000000375910653,1600000000375910650,Food Menu,Salads,,Lamb Garden Bowl,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910656,1600000000375910655,1600000000375910650,Food Menu,Salads,,Falafel Crunch Bowl,12.99,1.0,12.99,0.00,12.99,0.14285714285714285,7.380073800738007E-4,2.2411474675033618E-4,0.1332034454470878,7.256525146736546E-4,3.2551332875593267E-4
1600000000375910658,1600000000375910657,1600000000375910650,Food Menu,Salads,,Steak House Salad,17.03,2.0,34.06,0.00,34.06,0.2857142857142857,0.0014760147601476014,4.4822949350067237E-4,0.34926168990976214,0.001902673183201284,8.535014609258713E-4
1600000000375910660,1600000000375910659,,Food Menu,Desserts,,,7.06,37.0,261.36,6.99,254.37,0,0.02730627306273063,0.008292245629762439,0,0.014209717487108356,0.00637419749312137
1600000000375910662,1600000000375910661,1600000000375910660,Food Menu,Desserts,,Nutella Cheese Cake,7.1113333333333335,15.0,106.67,0.00,106.67,0.40540540540540543,0.01107011070110701,0.0033617212012550424,0.41934976608876834,0.0059588417044063695,0.0026730182277440603
1600000000375910664,1600000000375910663,1600000000375910660,Food Menu,Desserts,,Cheese Cake,6.989999999999999,6.0,41.94,0.00,41.94,0.16216216216216217,0.004428044280442804,0.001344688480502017,0.16487793371859888,0.0023428688579994667,0.0010509645117801245
1600000000375910666,1600000000375910665,1600000000375910660,Food Menu,Desserts,,Leches Cake,6.99,1.0,6.99,6.99,0.00,0.02702702702702703,7.380073800738007E-4,2.2411474675033618E-4,0.0,0.0,0.0
1600000000375910668,1600000000375910667,1600000000375910660,Food Menu,Desserts,,Red Velvet Cake,7.172,4.0,28.87,0.00,28.87,0.10810810810810811,0.002952029520295203,8.964589870013447E-4,0.11349608837520148,0.0016127473517034958,7.234464820002908E-4
1600000000375910670,1600000000375910669,1600000000375910660,Food Menu,Desserts,,Carrot Cake,6.99,11.0,76.89,0.00,76.89,0.2972972972972973,0.008118081180811807,0.002465262214253698,0.3022762118174313,0.004295259572999022,0.0019267682715968949
1600000000375910672,1600000000375910671,,Food Menu,Thick Shakes,,,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
